,Baseline,Baseline,Baseline,JS_Strategy,JS_Strategy,JS_Strategy,JB_Strategy,JB_Strategy,JB_Strategy,JE_Strategy,JE_Strategy,JE_Strategy
,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds
Dates,,,,,,,,,,,,
1983-09-26,0.0017436272647488086,0.0,0.0,0.0013048547439104342,0.0,0.0,0.0016142826059660446,0.0,0.0,0.0014603688967866066,0.0,0.0
1983-09-27,-0.005089523038223746,0.0,0.0,-0.0038087774921461972,0.0,0.0,-0.00471197524801934,0.0,0.0,-0.0042627121603146,0.0,0.0
1983-09-28,-0.0013161057604682905,0.0,0.0,-0.000984916260346675,0.0,0.0,-0.001218475232458438,0.0,0.0,-0.0011022997611513398,0.0,0.0
1983-09-29,-0.002450306539630956,0.0,0.0,-0.0018337027511053652,0.0,0.0,-0.0022685394442836606,0.0,0.0,-0.0020522456435580995,0.0,0.0
1983-09-30,-0.0036610423077623588,0.0,0.015573301444662267,-0.0027397646959992465,0.0041559628919525865,0.014567976108803173,-0.0033894611747643014,0.004113192607118208,0.01153444208992952,-0.003066293137396102,0.004134467139856753,0.013043363974549391
1983-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-03,-0.0008580913552464466,0.0,0.0,-0.0006421582170907175,0.0,0.0,-0.0007944369631681141,0.0,0.0,-0.0007186914033395242,0.0,0.0
1983-10-04,0.0014961470478023254,0.0,0.0,0.0011196513224939174,0.0,0.0,0.001385160810491618,0.0,0.0,0.0012530927095501612,0.0,0.0
1983-10-05,0.004666211140463416,0.0,0.0,0.003491989294855723,0.0,0.0,0.004320065206654265,0.0,0.0,0.003908168765847804,0.0,0.0
1983-10-06,0.007992046943662984,0.0,0.0,0.005980900034558636,0.0,0.0,0.0073991859545037885,0.0,0.0,0.006693710871666878,0.0,0.0
1983-10-07,0.001611761027810714,0.0,0.0,0.0012061717923937988,0.0,0.0,0.0014921983871040336,0.0,0.0,0.0013499247927891683,0.0,0.0
1983-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-10,0.005716692211525517,0.0,0.0,0.00427812360043563,0.0,0.0,0.005292620152998504,0.0,0.0,0.00478799550052735,0.0,0.0
1983-10-11,-0.007061652550224178,0.0,0.0,-0.005284633371074688,0.0,0.0,-0.006537809491551448,0.0,0.0,-0.005914462312417943,0.0,0.0
1983-10-12,-0.002199898552996649,0.0,0.0,-0.0016463083143018616,0.0,0.0,-0.002036707065087081,0.0,0.0,-0.0018425173130938585,0.0,0.0
1983-10-13,0.0007778543680351411,0.0,0.0,0.0005821123486207519,0.0,0.0,0.0007201520655704672,0.0,0.0,0.0006514891962714122,0.0,0.0
1983-10-14,-6.213677252162321e-05,0.0,0.0,-4.650045570823537e-05,0.0,0.0,-5.752738162589791e-05,0.0,0.0,-5.204243577273716e-05,0.0,0.0
1983-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-17,0.001771106529527611,0.0,0.0,0.001325419029483794,0.0,0.0,0.0016397234212446165,0.0,0.0,0.0014833840585708013,0.0,0.0
1983-10-18,-0.008113648618165568,0.0,0.0,-0.00607190143437043,0.0,0.0,-0.007511767050231348,0.0,0.0,-0.006795557927417252,0.0,0.0
1983-10-19,-0.0033967756716713174,0.0,0.0,-0.0025419990492167475,0.0,0.0,-0.0031447981997101784,0.0,0.0,-0.0028449575437126786,0.0,0.0
1983-10-20,0.0007913838928195002,0.0,0.0,0.0005922372560219148,0.0,0.0,0.0007326779516746419,0.0,0.0,0.0006628208022762242,0.0,0.0
1983-10-21,-0.0032556200633201216,0.0,0.0,-0.002436364336505854,0.0,0.0,-0.0030141137077303415,0.0,0.0,-0.002726733159286816,0.0,0.0
1983-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-24,0.00012721657024392287,0.0,0.0,9.520334336519565e-05,0.0,0.0,0.00011777947081196127,0.0,0.0,0.0001065497919745238,0.0,0.0
1983-10-25,0.001526230965622166,0.0,0.0,0.0011421648170212501,0.0,0.0,0.0014130130620809945,0.0,0.0,0.0012782893893485286,0.0,0.0
1983-10-26,-0.0034558228084408758,0.0,0.0,-0.0025861873560216347,0.0,0.0,-0.00319946513899604,0.0,0.0,-0.002894412265903542,0.0,0.0
1983-10-27,-0.0017233429842276851,0.0,0.0,-0.0012896748713540072,0.0,0.0,-0.0015955030411577925,0.0,0.0,-0.0014433798688185159,0.0,0.0
1983-10-28,-0.0047066908901046796,0.0,0.0,-0.0035222825773820886,0.0,0.0,-0.004357542113021157,0.0,0.0,-0.003942072438106752,0.0,0.0
1983-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-10-31,0.0005815152980587656,0.0,0.0016917073539672823,0.00043518073539517864,0.0015538472330710533,0.0015825001784787877,0.0005383776967347784,0.0015378561160963933,0.0012529713482256866,0.00048704609721330326,0.0015458103194158402,0.001416883557710884
1983-11-01,0.0002904376467251669,0.0,0.0,0.00021735089190298563,0.0,0.0,0.0002688925842724141,0.0,0.0,0.00024325503179971998,0.0,0.0
1983-11-02,0.003870372127591536,0.0,0.0,0.002896418020920366,0.0,0.0,0.003583262621835002,0.0,0.0,0.003241616593405787,0.0,0.0
1983-11-03,-0.004450544447105826,0.0,0.0,-0.0033305937296334337,0.0,0.0,-0.004120396964013241,0.0,0.0,-0.0037275378836519966,0.0,0.0
1983-11-04,-0.0032613499128614797,0.0,0.0,-0.002440652306479191,0.0,0.0,-0.0030194185091844236,0.0,0.0,-0.0027315321746627726,0.0,0.0
1983-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-07,-0.0017220423865648136,0.0,0.0,-0.0012887015606788262,0.0,0.0,-0.0015942989236110094,0.0,0.0,-0.0014422905578100852,0.0,0.0
1983-11-08,-0.0004889658567715263,0.0,0.0,-0.00036592076226249655,0.0,0.0,-0.00045269369976918313,0.0,0.0,-0.0004095316374412295,0.0,0.0
1983-11-09,0.0072107773134043405,0.0,0.0,0.005396231852358007,0.0,0.0,0.006675871975539516,0.0,0.0,0.006039361234505142,0.0,0.0
1983-11-10,0.0014162803448902477,0.0,0.0,0.0010598825586748202,0.0,0.0,0.0013112187289966953,0.0,0.0,0.0011862006327974513,0.0,0.0
1983-11-11,0.006035184733912342,0.0,0.0,0.004516469540040055,0.0,0.0,0.005587486463828629,0.0,0.0,0.005054747794986245,0.0,0.0
1983-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-14,0.0009204343392975043,0.0,0.0,0.0006888129925310834,0.0,0.0,0.0008521552592697406,0.0,0.0,0.0007709065508550938,0.0,0.0
1983-11-15,-0.0038654309633512204,0.0,0.0,-0.0028927202686944366,0.0,0.0,-0.0035786879999260518,0.0,0.0,-0.003237478138636034,0.0,0.0
1983-11-16,0.002298068559357949,0.0,0.0,0.0017197744736697665,0.0,0.0,0.002127594685910935,0.0,0.0,0.001924739257419809,0.0,0.0
1983-11-17,0.00015889623849924168,0.0,0.0,0.0001189110280545703,0.0,0.0,0.00014710909788377883,0.0,0.0,0.00013308298695025763,0.0,0.0
1983-11-18,-0.0033040470452728983,0.0,0.0,-0.0024726049817468823,0.0,0.0,-0.003058948309830384,0.0,0.0,-0.0027672930080795393,0.0,0.0
1983-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-21,0.0030691026468426495,0.0,0.0,0.0022967828212170295,0.0,0.0,0.0028414324086840775,0.0,0.0,0.00257051615165019,0.0,0.0
1983-11-22,0.0025110141474337386,0.0,0.0,0.0018791336821503248,0.0,0.0,0.0023247436785871186,0.0,0.0,0.002103091087435851,0.0,0.0
1983-11-23,0.0003796138186040198,0.0,0.0,0.00028408645705065315,0.0,0.0,0.0003514535455747766,0.0,0.0,0.00031794422161640623,0.0,0.0
1983-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-25,0.0006954584575695486,0.0,0.0,0.0005204508359663621,0.0,0.0,0.0006438683966026598,0.0,0.0,0.0005824787906078485,0.0,0.0
1983-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-11-28,-0.002020489516159274,0.0,0.0,-0.0015120464009041172,0.0,0.0,-0.001870606836342712,0.0,0.0,-0.0016922539038797969,0.0,0.0
1983-11-29,0.004341731426353587,0.0,0.0,0.0032491628015914598,0.0,0.0,0.004019655842183933,0.0,0.0,0.0036364019199717898,0.0,0.0
1983-11-30,-0.00474636719764649,0.0,0.005404054565371829,-0.003551974598815488,0.0011266317453532747,0.005055198994172737,-0.004394275177724026,0.001115037233586695,0.004002539516530394,-0.003975303190254773,0.0011208045045113739,0.004526146937111363
1983-12-01,0.0002854632038578145,0.0,0.0,0.00021362823540121815,0.0,0.0,0.0002642871523905631,0.0,0.0,0.00023908870463267492,0.0,0.0
1983-12-02,-0.003328603718476719,0.0,0.0,-0.0024909821270075005,0.0,0.0,-0.003081683335380143,0.0,0.0,-0.0027878603635461785,0.0,0.0
1983-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-12-05,0.0010527720993335438,0.0,0.0,0.000787848811408568,0.0,0.0,0.0009746760230004357,0.0,0.0,0.000881745577368529,0.0,0.0
1983-12-06,-0.0009551603048788377,0.0,0.0,-0.0007148003935322952,0.0,0.0,-0.0008843052051593502,0.0,0.0,-0.0007999911614660476,0.0,0.0
1983-12-07,0.0014034416398842223,0.0,0.0,0.0010502746307240077,0.0,0.0,0.001299332416713467,0.0,0.0,0.0011754476204737312,0.0,0.0
